,الفجر,الشروق,الظهر,العصر,المغرب,العشاء
2023-06-19,03:42:00,05:29:00,12:46:00,16:34:00,20:04:00,21:42:00
2023-06-20,03:42:00,05:30:00,12:46:00,16:34:00,20:04:00,21:43:00
2023-06-21,03:43:00,05:30:00,12:46:00,16:34:00,20:05:00,21:43:00
2023-06-22,03:43:00,05:30:00,12:46:00,16:34:00,20:05:00,21:43:00
2023-06-23,03:43:00,05:30:00,12:47:00,16:34:00,20:05:00,21:43:00
2023-06-24,03:43:00,05:31:00,12:47:00,16:35:00,20:05:00,21:43:00
2023-06-25,03:44:00,05:31:00,12:47:00,16:35:00,20:05:00,21:43:00
2023-06-26,03:44:00,05:31:00,12:47:00,16:35:00,20:05:00,21:43:00
2023-06-27,03:44:00,05:31:00,12:48:00,16:35:00,20:05:00,21:43:00
2023-06-28,03:45:00,05:32:00,12:48:00,16:35:00,20:06:00,21:43:00
2023-06-29,03:45:00,05:32:00,12:48:00,16:36:00,20:06:00,21:43:00
2023-06-30,03:46:00,05:33:00,12:48:00,16:36:00,20:06:00,21:43:00
2023-07-01,03:46:00,05:33:00,12:48:00,16:36:00,20:05:00,21:43:00
2023-07-02,03:47:00,05:33:00,12:49:00,16:36:00,20:05:00,21:43:00
2023-07-03,03:48:00,05:34:00,12:49:00,16:36:00,20:05:00,21:43:00
2023-07-04,03:48:00,05:34:00,12:49:00,16:37:00,20:05:00,21:42:00
2023-07-05,03:49:00,05:35:00,12:49:00,16:37:00,20:05:00,21:42:00
2023-07-06,03:49:00,05:35:00,12:49:00,16:37:00,20:05:00,21:42:00
2023-07-07,03:50:00,05:36:00,12:49:00,16:37:00,20:05:00,21:41:00
2023-07-08,03:51:00,05:36:00,12:50:00,16:37:00,20:04:00,21:41:00
2023-07-09,03:52:00,05:37:00,12:50:00,16:37:00,20:04:00,21:40:00
2023-07-10,03:53:00,05:37:00,12:50:00,16:37:00,20:04:00,21:40:00
2023-07-11,03:53:00,05:38:00,12:50:00,16:38:00,20:04:00,21:39:00
2023-07-12,03:54:00,05:39:00,12:50:00,16:38:00,20:03:00,21:39:00
2023-07-13,03:55:00,05:39:00,12:50:00,16:38:00,20:03:00,21:38:00
2023-07-14,03:56:00,05:40:00,12:50:00,16:38:00,20:03:00,21:37:00
2023-07-15,03:57:00,05:40:00,12:50:00,16:38:00,20:02:00,21:37:00
2023-07-16,03:58:00,05:41:00,12:51:00,16:38:00,20:02:00,21:36:00
2023-07-17,03:59:00,05:42:00,12:51:00,16:38:00,20:01:00,21:35:00
2023-07-18,04:00:00,05:42:00,12:51:00,16:38:00,20:01:00,21:35:00
